order_status,MAX_FREIGHT,MAX_PRICE,MAX_PAYMENT,MIN_FREIGHT,MIN_PRICE,MIN_PAYMENT,MEDIAN_PRICE,MEDIAN_FREIGHT,MEDIAN_PAYMENT,AVG_FREIGHT,AVG_PRICE,AVG_PAYMENT,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY,ORDER_PURCHASE_HOUR
delivered,2032.00,34890.00,31443.00,2032.00,34890.00,31443.00,34890.000000,2032.000000,31443.000000,2032.000000,34890.000000,31443.000000,2017,1,15,Sunday,21
delivered,1549.00,8700.00,21414.00,1549.00,8700.00,21414.00,8700.000000,1549.000000,21414.000000,1549.000000,8700.000000,21414.000000,2017,1,16,Monday,9
delivered,1695.00,3999.00,17840.00,1556.00,3990.00,6571.00,3994.500000,1625.500000,12205.500000,1625.500000,3994.500000,12205.500000,2017,1,16,Monday,14
delivered,2067.00,41000.00,14581.00,2067.00,41000.00,14581.00,41000.000000,2067.000000,14581.000000,2067.000000,41000.000000,14581.000000,2017,1,16,Monday,16
delivered,2686.00,64900.00,3685.00,2686.00,64900.00,3685.00,64900.000000,2686.000000,3685.000000,2686.000000,64900.000000,3685.000000,2017,1,5,Thursday,11
delivered,2575.00,12990.00,28618.00,2575.00,12990.00,28618.00,12990.000000,2575.000000,28618.000000,2575.000000,12990.000000,28618.000000,2017,1,6,Friday,23
shipped,1523.00,2999.00,65034.00,1510.00,2799.00,4263.00,2899.000000,1516.500000,34648.500000,1516.500000,2899.000000,34648.500000,2017,1,8,Sunday,19
delivered,1171.00,9900.00,9870.00,1171.00,9900.00,9870.00,9900.000000,1171.000000,9870.000000,1171.000000,9900.000000,9870.000000,2017,1,9,Monday,17
delivered,2383.00,12890.00,3800.00,2383.00,12890.00,3800.00,12890.000000,2383.000000,3800.000000,2383.000000,12890.000000,3800.000000,2017,1,10,Tuesday,22
processing,1269.00,4939.00,5574.00,1269.00,4939.00,5574.00,4939.000000,1269.000000,5574.000000,1269.000000,4939.000000,5574.000000,2017,1,11,Wednseday,15
delivered,2768.00,19743.00,2329.00,2768.00,19743.00,2329.00,19743.000000,2768.000000,2329.000000,2768.000000,19743.000000,2329.000000,2017,1,11,Wednseday,20
delivered,828.00,7649.00,12620.00,828.00,7649.00,12620.00,7649.000000,828.000000,12620.000000,828.000000,7649.000000,12620.000000,2017,1,12,Thursday,0
invoiced,1932.00,3450.00,14153.00,1932.00,3450.00,14153.00,3450.000000,1932.000000,14153.000000,1932.000000,3450.000000,14153.000000,2017,1,12,Thursday,15
delivered,1527.00,5599.00,15244.00,1527.00,5599.00,15244.00,5599.000000,1527.000000,15244.000000,1527.000000,5599.000000,15244.000000,2017,1,12,Thursday,18
delivered,1292.00,18999.00,32087.00,858.00,6900.00,5863.00,12949.500000,1075.000000,18975.000000,1075.000000,12949.500000,18975.000000,2017,1,12,Thursday,23
delivered,1829.00,5900.00,14071.00,1829.00,5900.00,14071.00,5900.000000,1829.000000,14071.000000,1829.000000,5900.000000,14071.000000,2017,1,13,Friday,9
delivered,2309.00,2500.00,3511.00,2309.00,2500.00,3511.00,2500.000000,2309.000000,3511.000000,2309.000000,2500.000000,3511.000000,2017,1,13,Friday,17
