MAX_FREIGHT,MAX_PRICE,MAX_PAYMENT,MIN_FREIGHT,MIN_PRICE,MIN_PAYMENT,MEDIAN_PRICE,MEDIAN_FREIGHT,MEDIAN_PAYMENT,AVG_FREIGHT,AVG_PRICE,AVG_PAYMENT,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY,ORDER_PURCHASE_HOUR
1932,00,13420,00,38900,00,560,00,2999,00,4630,00,8209,500000,1246,000000,21765,000000,1477,000000,7381,800000,15927,200000,2018,4,14,Saturday,21
4571,00,17900,00,40899,00,723,00,5490,00,9970,00,11695,000000,2647,000000,25434,500000,1837,500000,10499,750000,20916,000000,2018,2,16,Friday,21
1881,00,7500,00,16849,00,778,00,600,00,1739,00,4050,000000,1329,500000,9294,000000,1298,375000,4492,125000,10418,500000,2017,8,19,Saturday,12
4044,00,53500,00,25000,00,1234,00,2799,00,1528,00,28149,500000,2639,000000,13264,000000,2360,846153,15956,692307,13245,307692,2018,3,30,Friday,21
3884,00,14800,00,64319,00,1441,00,5900,00,3695,00,10350,000000,2662,500000,34007,000000,2396,857142,10596,857142,17184,428571,2017,8,4,Friday,16
5979,00,62600,00,41156,00,1115,00,990,00,2567,00,31795,000000,3547,000000,21861,500000,2525,230769,13467,153846,14920,153846,2018,6,16,Saturday,20
2994,00,37990,00,32401,00,522,00,900,00,28,00,19445,000000,1758,000000,16214,500000,1787,666666,7714,809523,13017,571428,2018,2,6,Tuesday,14
10075,00,299989,00,108471,00,424,00,585,00,2822,00,150287,000000,5249,500000,55646,500000,2110,083333,24467,291666,17447,458333,2018,4,15,Sunday,22
3355,00,26900,00,45722,00,1070,00,2190,00,4521,00,14545,000000,2212,500000,25121,500000,1811,750000,10257,500000,13704,125000,2017,8,13,Sunday,13
10663,00,26900,00,29206,00,,00,2400,00,2029,00,14650,000000,5331,500000,15617,500000,2664,923076,11319,692307,11540,461538,2018,5,29,Tuesday,14
2744,00,68900,00,21273,00,1185,00,1500,00,4175,00,35200,000000,1964,500000,12724,000000,1701,125000,16983,500000,11823,375000,2017,4,24,Monday,13
1390,00,29999,00,12634,00,1209,00,4597,00,4509,00,17298,000000,1299,500000,8571,500000,1293,000000,12894,000000,9915,750000,2017,7,13,Thursday,15
2102,00,7500,00,11142,00,1173,00,4200,00,3429,00,5850,000000,1637,500000,7285,500000,1637,500000,5850,000000,7285,500000,2017,10,30,Monday,7
4053,00,21999,00,63674,00,764,00,2990,00,213,00,12494,500000,2408,500000,31943,500000,1864,875000,11736,250000,19220,875000,2017,7,6,Thursday,22
7376,00,64900,00,50816,00,850,00,1500,00,4149,00,33200,000000,4113,000000,27482,500000,2448,900000,14522,000000,16659,300000,2018,3,25,Sunday,23
2008,00,16999,00,7666,00,898,00,2400,00,3030,00,9699,500000,1453,000000,5348,000000,1603,000000,8839,714285,5313,857142,2018,1,5,Friday,0
8296,00,49999,00,150756,00,754,00,790,00,435,00,25394,500000,4525,000000,75595,500000,1918,045454,10441,590909,23098,863636,2018,2,27,Tuesday,21
2491,00,16999,00,47280,00,1767,00,5999,00,8412,00,11499,000000,2129,000000,27846,000000,2219,000000,13329,333333,21971,666666,2017,5,3,Wednseday,22
2747,00,38850,00,35376,00,778,00,1197,00,102,00,20023,500000,1762,500000,17739,000000,1730,166666,8043,583333,13133,500000,2017,12,18,Monday,11
3653,00,35590,00,29722,00,1253,00,1500,00,3334,00,18545,000000,2453,000000,16528,000000,1869,625000,13140,875000,14328,750000,2017,6,27,Tuesday,13
3831,00,18999,00,37029,00,872,00,1890,00,3229,00,10444,500000,2351,500000,20129,000000,1811,818181,7637,909090,10251,818181,2017,8,1,Tuesday,10
2328,00,11900,00,29274,00,872,00,3500,00,6000,00,7700,000000,1600,000000,17637,000000,1506,333333,6813,166666,12818,333333,2017,10,15,Sunday,11
10623,00,25290,00,69068,00,922,00,1518,00,2653,00,13404,000000,5772,500000,35860,500000,2532,518518,8356,000000,14067,333333,2018,2,15,Thursday,19
5842,00,38800,00,29899,00,1121,00,1000,00,3073,00,19900,000000,3481,500000,16486,000000,2554,142857,17168,285714,8839,000000,2017,8,28,Monday,9
2484,00,14990,00,76859,00,1213,00,1250,00,3491,00,8120,000000,1848,500000,40175,000000,2017,571428,7202,428571,21272,714285,2017,4,11,Tuesday,21
2756,00,23899,00,14312,00,771,00,890,00,599,00,12394,500000,1763,500000,7455,500000,1607,800000,10711,600000,7992,000000,2017,5,29,Monday,18
6134,00,20500,00,17912,00,1249,00,8999,00,5472,00,14749,500000,3691,500000,11692,000000,2754,800000,13924,600000,8928,400000,2017,7,19,Wednseday,15
2277,00,11990,00,60109,00,1279,00,2799,00,5095,00,7394,500000,1778,000000,32602,000000,1739,400000,6797,400000,21086,800000,2017,9,18,Monday,8
4509,00,8999,00,21610,00,4509,00,8999,00,21610,00,8999,000000,4509,000000,21610,000000,4509,000000,8999,000000,21610,000000,2017,3,7,Tuesday,0
3840,00,14990,00,17827,00,2377,00,3980,00,3761,00,9485,000000,3108,500000,10794,000000,3108,500000,9485,000000,10794,000000,2017,1,12,Thursday,20
11462,00,66800,00,39812,00,739,00,780,00,295,00,33790,000000,6100,500000,20053,500000,2605,823529,13681,764705,11558,294117,2018,5,16,Wednseday,21
3704,00,32000,00,15234,00,778,00,2290,00,5912,00,17145,000000,2241,000000,10573,000000,1563,700000,11506,000000,9979,600000,2017,10,4,Wednseday,11
13018,00,119790,00,113362,00,269,00,1390,00,3678,00,60590,000000,6643,500000,58520,000000,2248,538461,19341,153846,20597,692307,2017,5,31,Wednseday,21
8621,00,8990,00,21919,00,1343,00,4500,00,2768,00,6745,000000,4982,000000,12343,500000,4095,000000,6463,000000,9624,000000,2017,2,2,Thursday,20
3497,00,23256,00,34846,00,758,00,2400,00,4388,00,12828,000000,2127,500000,19617,000000,1718,846153,11028,769230,12692,076923,2018,7,17,Tuesday,19
6529,00,137750,00,62948,00,739,00,500,00,2813,00,69125,000000,3634,000000,32880,500000,1965,250000,15587,562500,20160,437500,2018,6,11,Monday,22
829,00,2610,00,9088,00,829,00,2610,00,9088,00,2610,000000,829,000000,9088,000000,829,000000,2610,000000,9088,000000,2017,12,14,Thursday,4
5283,00,34800,00,45019,00,897,00,2085,00,2077,00,18442,500000,3090,000000,23548,000000,2524,800000,11937,000000,13801,000000,2017,2,9,Thursday,12
1682,00,39099,00,3090,00,1682,00,39099,00,3090,00,39099,000000,1682,000000,3090,000000,1682,000000,39099,000000,3090,000000,2017,4,16,Sunday,17
8256,00,169999,00,16500,00,778,00,1690,00,1628,00,85844,500000,4517,000000,9064,000000,2879,538461,23256,692307,8845,230769,2018,8,19,Sunday,19
2403,00,87900,00,34752,00,1279,00,1990,00,4285,00,44945,000000,1841,000000,19518,500000,1787,750000,25397,500000,23566,750000,2017,1,27,Friday,17
4645,00,89500,00,66417,00,778,00,1990,00,3442,00,45745,000000,2711,500000,34929,500000,2305,583333,18245,500000,20463,666666,2018,1,25,Thursday,20
3569,00,25000,00,64740,00,665,00,790,00,2671,00,12895,000000,2117,000000,33705,500000,1815,222222,10565,555555,18600,444444,2017,5,14,Sunday,22
6757,00,14999,00,29848,00,778,00,759,00,3284,00,7879,000000,3767,500000,16566,000000,2244,000000,9259,666666,14208,500000,2018,7,2,Monday,23
5311,00,18900,00,38648,00,636,00,2348,00,2775,00,10624,000000,2973,500000,20711,500000,1731,333333,7174,222222,11761,555555,2018,4,4,Wednseday,0
4141,00,22999,00,37227,00,771,00,5900,00,5496,00,14449,500000,2456,000000,21361,500000,2109,333333,14498,666666,17167,666666,2018,3,4,Sunday,2
2118,00,27690,00,46548,00,820,00,6590,00,9263,00,17140,000000,1469,000000,27905,500000,1443,666666,15756,666666,26682,666666,2017,10,19,Thursday,8
990,00,10990,00,18358,00,872,00,4990,00,13952,00,7990,000000,931,000000,16155,000000,931,000000,7990,000000,16155,000000,2017,1,19,Thursday,21
2511,00,32990,00,25053,00,778,00,1299,00,3669,00,17144,500000,1644,500000,14361,000000,1475,500000,11127,333333,14054,166666,2018,8,26,Sunday,13
3265,00,28590,00,82699,00,926,00,3990,00,2672,00,16290,000000,2095,500000,42685,500000,1781,857142,14119,714285,24719,714285,2018,3,10,Saturday,1
