ORDER_STATUS,QTY_OCURRENCE_STATUS,MAX_PRICE,MAX_PAYMENT,MIN_FREIGHT,MIN_PRICE,MIN_PAYMENT,MEDIAN_PRICE,MEDIAN_FREIGHT,MEDIAN_PAYMENT,AVG_FREIGHT,AVG_PRICE,AVG_PAYMENT
delivered,31982,673500.00,476434.00,0.00,85.00,0.00,336792.500000,18764.000000,238217.000000,2003.120000,12067.650000,15476.200000
created,3,33900.00,27540.00,1565.00,11985.00,5000.00,22942.500000,1964.500000,16270.000000,1986.330000,19291.670000,15735.670000
processing,101,169900.00,296005.00,424.00,1090.00,2000.00,85495.000000,7328.500000,149002.500000,1866.210000,11419.970000,16884.820000
invoiced,93,68900.00,112558.00,0.00,1060.00,103.00,34980.000000,6729.500000,56330.500000,2245.420000,12026.910000,13827.040000
unavailable,192,189000.00,117226.00,0.00,999.00,66.00,94999.500000,4901.000000,58646.000000,1832.490000,11212.390000,12878.520000
canceled,205,89900.00,275995.00,0.00,599.00,481.00,45249.500000,8176.000000,138238.000000,2237.790000,13747.020000,14772.680000
shipped,375,129965.00,238978.00,5.00,750.00,339.00,65357.500000,9289.000000,119658.500000,2027.560000,11741.350000,17376.130000
